request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Paying 15656000 in full today keeps the balance at or above 24768300 through 2025-11-01.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Paying 6670 in full today keeps the balance at or above 20500 through 2026-10-03.
request_28,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1302.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Paying 51524 in full today keeps the balance at or above 28300 through 2026-02-02.
request_30,310.88,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 775.2 by the desired completion date or within the 90-day forecast. At most 310.88 is safe today while keeping the protected minimum balance of 900.
request_31,49051.19,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Full payment of 18164000 becomes safe on 2024-11-15, before the deadline 2024-11-15, and keeps the balance at or above 16588900."
request_32,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 40018 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 35700.
request_33,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 118000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 102100.
request_34,73250.31,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 129400 by the desired completion date or within the 90-day forecast. At most 73250.31 is safe today while keeping the protected minimum balance of 138500.
request_35,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 212000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 106400.
request_36,150.47,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3954 by the desired completion date or within the 90-day forecast. At most 150.47 is safe today while keeping the protected minimum balance of 2400.
request_37,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 14649000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 17056200.
request_38,64.55,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"Full payment of 971.3 becomes safe on 2025-10-15, before the deadline 2025-10-15, and keeps the balance at or above 400."
request_39,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 208600 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 213400.
request_40,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1290.3 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1500.
request_41,5765804.87,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Full payment of 38760000 becomes safe on 2026-01-15, before the deadline 2026-01-15, and keeps the balance at or above 25366600."
request_42,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 52100 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 113100.
request_43,3873656.5,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Full payment of 43339000 becomes safe on 2024-11-15, before the deadline 2024-11-15, and keeps the balance at or above 21398000."
request_44,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 95800 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 82900.
request_45,1699795.54,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21983000 by the desired completion date or within the 90-day forecast. At most 1699795.54 is safe today while keeping the protected minimum balance of 11149800.
request_46,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 49450 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 84000.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Paying 38114000 in full today keeps the balance at or above 30049000 through 2025-08-03.
request_48,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 45700 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 71300.
request_49,2940549.3,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 34333000 by the desired completion date or within the 90-day forecast. At most 2940549.3 is safe today while keeping the protected minimum balance of 20275700.
request_50,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 43900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 99700.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Paying 2191000 in full today keeps the balance at or above 7811000 through 2026-04-03.
request_52,12457.72,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Full payment of 28870 becomes safe on 2024-06-15, before the deadline 2024-07-09, and keeps the balance at or above 41500."
request_53,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1699.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2100.
request_54,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 121528 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 37000.
request_55,63115.62,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 218600 by the desired completion date or within the 90-day forecast. At most 63115.62 is safe today while keeping the protected minimum balance of 124300.
request_56,322.12,affordable_with_plan,partial_payment,2025-02-03:322.12|2025-02-15:559.44,2025-02-15,none,"Pay 322.12 today and 559.44 on 2025-02-15; the balance stays at or above 2100 throughout, and the request completes by 2025-03-13."
request_57,2427.77,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Full payment of 61446 becomes safe on 2026-06-15, before the deadline 2026-06-15, and keeps the balance at or above 42700."
request_58,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 16226000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 14433900.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use payment option payment_option_163: 3 payments of 48741.33 starting 2025-05-07, total 146223.99, completing 2025-07-02 while keeping at least 132600."
request_60,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 199.89 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 400.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use payment option payment_option_169: 3 payments of 10074.83 starting 2024-03-17, total 30224.49, completing 2024-05-18 while keeping at least 36700."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Paying 404.23 in full today keeps the balance at or above 1300 through 2025-11-03.
request_63,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 343900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 153500.
request_64,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 63700 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 36100.
request_65,3284.71,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 54340 by the desired completion date or within the 90-day forecast. At most 3284.71 is safe today while keeping the protected minimum balance of 15500.
request_66,16741.23,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 22200 by the desired completion date or within the 90-day forecast. At most 16741.23 is safe today while keeping the protected minimum balance of 80700.
request_67,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2094 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1200.
request_68,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2091.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1500.
request_69,210.66,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 529.1 by the desired completion date or within the 90-day forecast. At most 210.66 is safe today while keeping the protected minimum balance of 700.
request_70,29743.36,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Full payment of 243900 becomes safe on 2025-02-15, before the deadline 2025-02-15, and keeps the balance at or above 115000."
request_71,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21451000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 8884800.
request_72,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 11330 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 12200.
request_73,56651.53,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 71400 by the desired completion date or within the 90-day forecast. At most 56651.53 is safe today while keeping the protected minimum balance of 103200.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Paying 5010 in full today keeps the balance at or above 21900 through 2025-11-02.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use payment option payment_option_208: 3 payments of 9800.27 starting 2026-04-09, total 29400.81, completing 2026-06-08 while keeping at least 39000."
request_76,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 4455.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1800.
request_77,40337.25,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 60700 by the desired completion date or within the 90-day forecast. At most 40337.25 is safe today while keeping the protected minimum balance of 82200.
request_78,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_79,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2151.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1000.
