request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,10087.27,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 25256 by the desired completion date or within the 90-day forecast. At most 10087.27 is safe today while keeping the protected minimum balance of 18000.
request_02,7026179.49,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 46018000 by the desired completion date or within the 90-day forecast. At most 7026179.49 is safe today while keeping the protected minimum balance of 29158400.
request_03,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 5491000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2668700.
request_04,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 12693000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 30686600.
request_05,15488,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,Paying 15488 in full today keeps the balance at or above 13100 through 2026-02-04.
request_06,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 620.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 800.
request_07,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 197400 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 93000.
request_08,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 996.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 800.
request_09,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 166.61 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_10,266700,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 266700 by the desired completion date or within the 90-day forecast. At most 266700 is safe today while keeping the protected minimum balance of 225400.
request_11,8331702.76,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 13110000 by the desired completion date or within the 90-day forecast. At most 8331702.76 is safe today while keeping the protected minimum balance of 34140600.
request_12,65164,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use payment option payment_option_33: 3 payments of 22590.19 starting 2026-04-19, total 67770.57, completing 2026-06-20 while keeping at least 43200."
request_13,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 941.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1300.
request_14,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 5414.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2200.
request_15,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3685 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1200.
request_16,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 122500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 122400.
request_17,92916.53,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 274600 by the desired completion date or within the 90-day forecast. At most 92916.53 is safe today while keeping the protected minimum balance of 166100.
request_18,259.04,affordable_later,wait,2026-09-15:3246.1,2026-09-15,none,"Full payment of 3246.1 becomes safe on 2026-09-15, before the deadline 2026-09-15, and keeps the balance at or above 1400."
request_19,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 39660 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 92800.
request_20,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 303700 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 64500.
request_21,1463.5,affordable_with_plan,full_payment,2026-04-03:1574.4,2026-04-15,stop:event_1816|reduce_to:event_1817:49.6,"Paying 1574.4 in full today is safe after stop:event_1816, reduce_to:event_1817:49.6, keeping the balance at or above 1800 through 2026-07-02. Without spending changes only 1463.5 is safe today."
request_22,276.76,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 731.5 by the desired completion date or within the 90-day forecast. At most 276.76 is safe today while keeping the protected minimum balance of 500.
request_23,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 38016 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 27000.
request_24,2854.57,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 109600 by the desired completion date or within the 90-day forecast. At most 2854.57 is safe today while keeping the protected minimum balance of 51000.
request_25,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 60496000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 23379100.
