request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Paying 15656000 in full today keeps the balance at or above 24768300 through 2025-11-01.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Paying 6670 in full today keeps the balance at or above 20500 through 2026-10-03.
request_28,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1302.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Paying 51524 in full today keeps the balance at or above 28300 through 2026-02-02.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use payment option payment_option_83: 3 payments of 268.74 starting 2026-04-06, total 806.22, completing 2026-06-05 while keeping at least 900."
request_31,5582071.93,affordable_later,wait,2024-10-17:18164000,2024-10-17,none,"Full payment of 18164000 becomes safe on 2024-10-17, before the deadline 2024-11-15, and keeps the balance at or above 16588900."
request_32,936.74,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 40018 by the desired completion date or within the 90-day forecast. At most 936.74 is safe today while keeping the protected minimum balance of 35700.
request_33,50749.16,affordable_later,wait,2026-01-16:118000,2026-01-16,none,"Full payment of 118000 becomes safe on 2026-01-16, before the deadline 2026-03-15, and keeps the balance at or above 102100."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Paying 129400 in full today keeps the balance at or above 138500 through 2025-03-04.
request_35,54865.39,affordable_later,wait,2025-12-17:212000,2025-12-17,none,"Full payment of 212000 becomes safe on 2025-12-17, before the deadline 2026-01-15, and keeps the balance at or above 106400."
request_36,586.23,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3954 by the desired completion date or within the 90-day forecast. At most 586.23 is safe today while keeping the protected minimum balance of 2400.
request_37,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 14649000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 17056200.
request_38,248.94,affordable_later,wait,2025-09-16:971.3,2025-09-16,none,"Full payment of 971.3 becomes safe on 2025-09-16, before the deadline 2025-10-15, and keeps the balance at or above 400."
request_39,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_40,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1290.3 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1500.
request_41,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_42,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 52100 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 113100.
request_43,9568458.79,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 43339000 by the desired completion date or within the 90-day forecast. At most 9568458.79 is safe today while keeping the protected minimum balance of 21398000.
request_44,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 95800 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 82900.
request_45,5072824.97,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21983000 by the desired completion date or within the 90-day forecast. At most 5072824.97 is safe today while keeping the protected minimum balance of 11149800.
request_46,43165.56,affordable_with_plan,partial_payment,2024-12-03:43165.56|2024-12-16:6284.44,2024-12-16,none,"Pay 43165.56 today and 6284.44 on 2024-12-16; the balance stays at or above 84000 throughout, and the request completes by 2025-01-09."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Paying 38114000 in full today keeps the balance at or above 30049000 through 2025-08-03.
request_48,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_49,12299584.33,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-19,none,"Use payment option payment_option_133: 3 payments of 11902106.67 starting 2024-03-18, total 35706320.01, completing 2024-05-19 while keeping at least 20275700."
request_50,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 43900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 99700.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Paying 2191000 in full today keeps the balance at or above 7811000 through 2026-04-03.
request_52,26530,affordable_later,wait,2024-06-16:28870,2024-06-16,none,"Full payment of 28870 becomes safe on 2024-06-16, before the deadline 2024-07-09, and keeps the balance at or above 41500."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-16,none,"Use payment option payment_option_145: 3 payments of 589.06 starting 2025-11-21, total 1767.18, completing 2026-01-16 while keeping at least 2100."
request_54,4167.76,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 121528 by the desired completion date or within the 90-day forecast. At most 4167.76 is safe today while keeping the protected minimum balance of 37000.
request_55,147574.62,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-16,none,"Use payment option payment_option_151: 3 payments of 75781.33 starting 2026-06-11, total 227343.99, completing 2026-08-12 while keeping at least 124300."
request_56,751.58,affordable_with_plan,partial_payment,2025-02-03:751.58|2025-02-16:129.98,2025-02-16,none,"Pay 751.58 today and 129.98 on 2025-02-16; the balance stays at or above 2100 throughout, and the request completes by 2025-03-13."
request_57,14668.81,affordable_later,wait,2026-05-17:61446,2026-05-17,none,"Full payment of 61446 becomes safe on 2026-05-17, before the deadline 2026-06-15, and keeps the balance at or above 42700."
request_58,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 16226000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 14433900.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use payment option payment_option_163: 3 payments of 48741.33 starting 2025-05-07, total 146223.99, completing 2025-07-02 while keeping at least 132600."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Paying 199.89 in full today keeps the balance at or above 400 through 2026-04-06.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use payment option payment_option_169: 3 payments of 10074.83 starting 2024-03-17, total 30224.49, completing 2024-05-18 while keeping at least 36700."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Paying 404.23 in full today keeps the balance at or above 1300 through 2025-11-03.
request_63,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_64,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_65,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 54340 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 15500.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Paying 22200 in full today keeps the balance at or above 80700 through 2026-07-02.
request_67,578.52,affordable_later,wait,2024-10-17:2094,2024-10-17,none,"Full payment of 2094 becomes safe on 2024-10-17, before the deadline 2024-11-15, and keeps the balance at or above 1200."
request_68,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2091.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1500.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Paying 529.1 in full today keeps the balance at or above 700 through 2026-04-04.
request_70,59952.21,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 243900 by the desired completion date or within the 90-day forecast. At most 59952.21 is safe today while keeping the protected minimum balance of 115000.
request_71,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_72,8293.86,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 11330 by the desired completion date or within the 90-day forecast. At most 8293.86 is safe today while keeping the protected minimum balance of 12200.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Paying 71400 in full today keeps the balance at or above 103200 through 2023-04-20.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Paying 5010 in full today keeps the balance at or above 21900 through 2025-11-02.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use payment option payment_option_208: 3 payments of 9800.27 starting 2026-04-09, total 29400.81, completing 2026-06-08 while keeping at least 39000."
request_76,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 4455.6 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1800.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Paying 60700 in full today keeps the balance at or above 82200 through 2026-02-03.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Paying 50200 in full today keeps the balance at or above 55200 through 2025-12-31.
request_79,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
